descriptor_id,descriptor,cleaned_descriptor,merchant_name,merchant_city,merchant_state,merchant_postal_code,merchant_country,merchant_id
7bdb3995-c44e-450d-bdf5-84fe83a354e3,TESLA COMMERCE US,TESLA COMMERCE US,Tesla,,CA,94304,USA,6cd60727-a74a-451a-beae-62209474ad8b
7ce27fcf-ae88-49bc-acf8-aee05b8eafac,Adidas_US Spartanburg SC Digital ,ADIDAS,Adidas,,SC,,,ab705d99-bb1a-4a3c-8c35-5d8137a8263e
7d2d75c8-ea5a-44b2-adc6-f79373e2dcba,Sams Club Renewal,SAMS CLUB RENEWAL,Sam'S Club,,36,117630000,USA,7d9779f0-31b5-450c-879f-5f3e6d8d73bb
7dfbde61-6e63-4204-9181-c01dd5bebaa6,DUNKIN #344123,DUNKIN,Dunkin',,MA,02478,USA,38c51a81-748f-458c-9b02-71c0c49f286a
7e26539b-3262-4018-ab89-00f95d7c695f,Dd *Doordash Bahamabuc Doordash.com,DOORDASH,Doordash,,CA,,US,af07a9f0-ed11-4643-ac0d-cb508f0b8ad5
7e51b2ee-a7ce-416b-9301-895de159b497,Ace Hardware,ACE HARDWARE,Ace Hardware,,FL,,,8b429df7-7418-4f57-b64e-b9d179145b5a
7e6ac33b-7758-4029-acc0-e0d2db9fa006,Purchase DD *DOORDASH FARMERSPI,,Farmerspi,,CA,,US,
7ecd9c39-bb52-4d8c-b504-98e8b9acb950,Dick'ssportinggoods.co Ssportinggoods.co,DICK SSPORTINGGOODS CO SSPORTINGGOODS CO,Dick'S Sporting Goods,,PA,,,b8ebe955-2f56-410a-9608-0b14e70bbe56
7ed62bbc-154f-4109-b61d-c35d78fa19c5,Weis Markets,WEIS MARKETS,Weis Markets,Conshohocken,PA,19428,,86701de6-b870-4fa5-a30b-dcb251340204
7ef69525-85df-469d-8223-0bef08584a76,Klarna,KLARNA,Klarna,,DE,19801,USA,633a1451-a94c-47a0-9cd0-3fa2dd41ea16
7f3e47ed-afec-4d6e-afa6-d8ef1f1c8b6c,Adobe|ADOBE.LY/ENUS,ADOBE ADOBE LY ENUS,Adobe,,CA,,USA,67d7c342-a16e-434f-b0af-824f62496cb1
7f542e26-e012-4436-8774-9f97f4528374,WMT PLUS 2024,WMT PLUS,Ups,,AR,72716,USA,08b9685d-ce88-4343-9f5f-8921840b455f
8029ab4c-8fbc-40c1-9adc-bedd14c79484,LYFT   *RIDE MON 6AM,LYFT,Lyft,,CA,94104,USA,7507548b-589a-4350-920c-96ec5fa86468
804bf9cb-f4b7-4ea1-9531-35577554753b,SEARS.COM 9311,SEARS COM,Sears,,IL,,USA,1aafa4a6-08d6-40c9-abae-974a43ed7a4b
80b5d625-ef8a-4742-aec2-273be4a77724,BURGER KING #9788,BURGER KING,Burger King,,LA,707856042,USA,8b52ff0c-d651-4f68-bbd3-2750086d297a
8286a06f-3758-4931-be18-9de8d08b5e80,FOOD LION #2553 1401 N,FOOD LION N,Food Lion,,NC,28428,USA,7a8748f9-92f2-4707-bce0-fc112761b4a1
82e8ee4c-66b3-416e-b78c-f8518b721735,DD BR #342011,DOORDASH,Doordash,,IL,60503,USA,af07a9f0-ed11-4643-ac0d-cb508f0b8ad5
83130044-71b6-48a8-a319-7df3462dd6e1,7-Eleven,7 ELEVEN,7-Eleven,Moore,OK,73160,,500a4dd3-7bc6-4e52-941f-60bd12caf10d
8346a0d7-9a65-446f-8cdb-0b6cb4891a5f,TRADER JOE S #256,TRADER JOE S,Trader Joe'S,,CA,,USA,6f7809ab-f60d-49fd-bc8e-d764968ef2ee
83917695-b36a-4ebd-90b7-dc5079bba2ac,CHECKCARD 0513 KINDLE UNLTD SEATTLE WA ,CHECKCARD KINDLE UNLTD SEATTLE WA,Kindle,Seattle,WA,,,1379d98d-e829-4075-b798-d7ad562c1a7f
839a795f-977c-4da4-95aa-6bcfedfb6eb1,AUNTIEANNES/CBNCA261/1,AUNTIEANNES CBNCA261 1,Auntie Anne'S,,CA,94015,USA,790ac5c8-f700-46de-806e-0981247a06c6
83acd376-5625-4d6a-9757-d4bf46e0237a,TRADER JOE S #236,TRADER JOE S,Trader Joe'S,,CA,,USA,6f7809ab-f60d-49fd-bc8e-d764968ef2ee
83d6bb8e-d20c-49fd-8735-e4b266b9e44f,Temu.com,TEMU COM,Temu,,MA,,USA,6a311dff-16e9-4deb-8696-4259b63c4ff6
83f81015-ab56-42bb-8587-7aa62197a527,LOWES.COM,,LOWES.COM,,NC,,USA,
